"id","title","description","link","image_link","availability","price","brand"
"df19c1f7-07d8-a265-42f8-e8dfa824cc6e","Verbena & Lime Soy Candle","<p>Responsibly sourced soy candles with cotton wicks, fine fragrance and essential oils.<br>&nbsp;</p><p>The herbaceous, zesty aroma of verbena, combines beautifully with fresh, fruity lime and notes of grapefruit and rosewood for a punchy aroma that awakens the senses.&nbsp;</p><p>&nbsp;</p><p>Top: Lemon, Grapefruit, Coconut, Mandarin</p><p>Middle: Verbena, Lime, Rosewood</p><p>Base: Cedarwood, Orris, Musk</p>","https://www.blossomsouluk.com//product-page/verbena-lime-soy-candle","https://static.wixstatic.com/media/8079b4_e7b3068f148245eab52e7c36033bfbb4~mv2.png/v1/fit/w_1424,h_1416,q_90/file.png","in stock","24 GBP","Blossom Soul"
"f183fbc4-3cd9-472f-4631-76f562791fbd","Amber & Tonka Bean Soy Candle","<p>Responsibly sourced soy candles with cotton wicks, fine fragrance and essential oils.</p><p>&nbsp;</p><p>A blend of exotic bergamot, grapefruit, cassis, orris, jasmine and orange blossom aromas, with sweet notes of lily, tonka, vanilla and praline on woody base notes of patchouli, cedarwood, musk and amber.</p><p>&nbsp;</p><p>Top: Bergamot, Grapefruit, Cassis, Orris, Jasmine&nbsp;</p><p>Middle: Tonka Bean, Lily, Vanilla, Burnt Praline</p><p>Base: Patchouli, Cedarwood, Amber, Musk</p>","https://www.blossomsouluk.com//product-page/amber-tonka-bean-soy-candle","https://static.wixstatic.com/media/8079b4_40ae78a2280a4e67a443c8b5b72c820a~mv2.png/v1/fit/w_1200,h_1166,q_90/file.png","in stock","24 GBP","Blossom Soul"
"8a525d69-44c7-c348-e1a7-97044ad4ab9c","Moroccan Rose Soy Candle","<p>Responsibly sourced soy candles with cotton wicks, fine fragrance and essential oils.</p><p>&nbsp;</p><p>An exotic, heady blend of rose buds, orange blossom and citrus top notes, with floral heart notes of geranium, patchouli, jasmine, lily and spice.&nbsp;&nbsp;</p><p>&nbsp;</p><p>Top: Rose buds, Orange Blossom, Grapefruit</p><p>Middle: Rose Geranium, Jasmine, Lily</p><p>Base: Sandalwood, Patchouli, Pink Peppercorn</p>","https://www.blossomsouluk.com//product-page/moroccan-rose-soy-candle","https://static.wixstatic.com/media/8079b4_c60f4974693e455ab2fa7713cf66d589~mv2.png/v1/fit/w_1116,h_1190,q_90/file.png","in stock","24 GBP","Blossom Soul"
"1e268395-0c6c-2350-f088-a4e8d7f0b24c","English Pear & Spices Soy Candle","<p>Responsibly sourced soy candles with cotton wick, fine fragrance and essential oils.<br>&nbsp;</p><p>Rich, fresh and sweet top notes of ripe pear and dessert wine, give way to subtle spicy undertones of cinnamon and nutmeg.</p><p>&nbsp;</p><p>Top: Green Pear, Brown Sugar, Apple</p><p>Middle: Coconut, Cinnamon, Nutmeg</p><p>Base: Musk, Orange, Peppermint</p>","https://www.blossomsouluk.com//product-page/english-pear-spices-soy-candle","https://static.wixstatic.com/media/8079b4_c3337b0f69704ffe9cb5f125fcae11b0~mv2.png/v1/fit/w_958,h_1088,q_90/file.png","in stock","24 GBP","Blossom Soul"
"b34d2248-967d-4c59-ae17-04c04a4d2323","Spa Recovery Soy Candle (Essential Oils)","<p>Responsibly sourced soy candles with cotton wicks and essential oils.</p><p>&nbsp;</p><p>A revitalising blend of eucalyptus, peppermint, rosemary, orange, citronella, aniseed and thyme essential oils.</p>","https://www.blossomsouluk.com//product-page/spa-recovery-soy-candle-essential-oils","https://static.wixstatic.com/media/8079b4_39f87e9e41084dad93cf8462651e81f3~mv2.png/v1/fit/w_1330,h_1292,q_90/file.png","in stock","24 GBP","Blossom Soul"
"7b2bdc69-4b45-1a86-3a86-dd1dbc431560","Verbena & Lime Reed Diffuser 100ml","<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>The herbaceous, zesty aroma of verbena, combines beautifully with fresh, fruity lime and notes of grapefruit and rosewood for a punchy aroma that awakens the senses.&nbsp;<br>&nbsp;</p><p>Top: Lemon, Grapefruit, Coconut, Mandarin</p><p>Middle: Verbena, Lime, Rosewood</p><p>Base: Cedarwood, Orris, Musk<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>","https://www.blossomsouluk.com//product-page/verbena-lime-reed-diffuser-100ml","https://static.wixstatic.com/media/8079b4_5ed7e4cf691249f8984f146192e5b4a5~mv2.jpg/v1/fit/w_2965,h_3953,q_90/file.jpg","in stock","22 GBP","Blossom Soul"
"4493c472-343b-8a36-d83d-625888e4add8","Amber & Tonka Bean Reed Diffuser 100ml","<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>A blend of exotic bergamot, grapefruit, cassis, orris, jasmine and orange blossom aromas, with sweet notes of lily, tonka, vanilla and praline on woody base notes of patchouli, cedarwood, musk and amber.<br>&nbsp;</p><p>Top: Bergamot, Grapefruit, Cassis, Orris, Jasmine</p><p>Middle: Tonka Bean, Lily, Vanilla, Burnt Praline</p><p>Base: Patchouli, Cedarwood, Amber, Musk<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>","https://www.blossomsouluk.com//product-page/amber-tonka-bean-reed-diffuser-100ml","https://static.wixstatic.com/media/8079b4_37ddf6bde9bb410e8b129a55a4e8756b~mv2.jpg/v1/fit/w_3024,h_4032,q_90/file.jpg","in stock","22 GBP","Blossom Soul"
"eee77893-2049-9ed2-4b67-2d90b48c68aa","Spa Recovery Reed Diffuser (Essential Oils) 100ml","<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.</p><p><br>A revitalising blend of eucalyptus, peppermint, rosemary, orange, citronella, aniseed and thyme essential oils.<br><br>An alcohol-free, non-flammable natural vegetable base, essential oils ( blend of eucalyptus, peppermint, rosemary, orange, citronella, aniseed and thyme).</p><p><br>Natural Reeds, Recycled Amber Glass<br>100ml</p>","https://www.blossomsouluk.com//product-page/spa-recovery-reed-diffuser-essential-oils-100ml","https://static.wixstatic.com/media/8079b4_392bf023857144da87dc11a6b8657605~mv2.jpg/v1/fit/w_2992,h_3989,q_90/file.jpg","in stock","22 GBP","Blossom Soul"
"fa06cab1-bdcc-06c7-2f25-2136cf368b2a","Moroccan Rose Reed Diffuser 100ml","<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>An exotic, heady blend of rose buds, orange blossom and citrus top notes, with floral heart notes of geranium, patchouli, jasmine, lily and spice.</p><p>&nbsp;</p><p>Top: Rose buds, Orange Blossom, Grapefruit</p><p>Middle: Rose Geranium, Jasmine, Lily</p><p>Base: Sandalwood, Patchouli, Pink Peppercorn<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>","https://www.blossomsouluk.com//product-page/moroccan-rose-reed-diffuser-100ml","https://static.wixstatic.com/media/8079b4_3483ea0bebf943f087c6d711b60bdedf~mv2.jpg/v1/fit/w_2965,h_3953,q_90/file.jpg","in stock","22 GBP","Blossom Soul"
"d8287605-8ea4-b296-ca2a-0a8f9344a494","English Pear & Spices Reed Diffuser 100ml","<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>Rich, fresh and sweet top notes of ripe pear and dessert wine, give way to subtle spicy undertones of cinnamon and nutmeg.<br>&nbsp;</p><p>Top: Green Pear, Brown Sugar, Apple</p><p>Middle: Coconut, Cinnamon, Nutmeg</p><p>Base: Musk, Orange, Peppermint<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>","https://www.blossomsouluk.com//product-page/english-pear-spices-reed-diffuser-100ml","https://static.wixstatic.com/media/8079b4_2b131b859dc14202ba2552a9f4a53cd2~mv2.jpg/v1/fit/w_3024,h_4032,q_90/file.jpg","in stock","22 GBP","Blossom Soul"
"36adc3fc-35b8-7b0a-b325-d281ef0938da","Spa Recovery Himalayan Bath Salt (With Essential Oils), Glass Bottle","<p>Sourced from the foothills of the Himlayas in Pakistan, these salts will add a spa-like quality to any bath or hot tub and can even be used as a rejuvenating foot soak. Containing 84 minerals including magnesium, calcium, phosphorus and iron (which gives the salt its unique pink colour) these salts will offer you a relaxing experience that can help replenish skin giving a natural glow.<br>&nbsp;</p><p>We offer our Himalayan Salt infused with a delightful blend of essential oils. This revitalizing combination includes eucalyptus, peppermint, rosemary, orange, citronella, aniseed, and thyme essential oils.</p>","https://www.blossomsouluk.com//product-page/spa-recovery-himalayan-bath-salt-with-essential-oils-glass-bottle","https://static.wixstatic.com/media/8079b4_ceb52cfe49e942f3b296308bac4b15e3~mv2.png/v1/fit/w_1016,h_1410,q_90/file.png","in stock","12 GBP","Blossom Soul"
